question,tier,score,latency,correct,pred,target,cost,norm_score,bin
Statement 1 | Any set of two vectors in R^2 is lin,Tier 2,0.86155023923445,0.8789327144622803,True,D,D,12,0.0086155023923445,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 2,0.6062775119617226,0.9013700485229492,True,B,B,12,0.006062775119617226,"(-0.001, 0.2]"
"Let A and B be sets, f: A -> B and g: B -> A be fu",Tier 2,0.5019043062200959,1.7159569263458252,True,C,C,12,0.005019043062200959,"(-0.001, 0.2]"
Statement 1 | S_n is non-Abelian for all n >= 3. S,Tier 2,0.8589377990430623,1.349022388458252,True,C,C,12,0.008589377990430623,"(-0.001, 0.2]"
Statement 1 | If a group has an element of order 1,Tier 2,0.8589377990430623,2.45991587638855,True,C,C,12,0.008589377990430623,"(-0.001, 0.2]"
Statement 1 | If H is a subgroup of G and a belong,Tier 2,0.7467272727272729,2.7580583095550537,False,A,C,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | If H is a subgroup of a group G and ,Tier 2,0.7467272727272729,2.8655483722686768,True,B,B,12,0.007467272727272729,"(-0.001, 0.2]"
"Some group (G, 0) is known to be abelian. Then whi",Tier 2,0.7764593301435407,3.9114928245544434,True,C,C,12,0.007764593301435407,"(-0.001, 0.2]"
Statement 1 | Every permutation is a cycle. Statem,Tier 1,0.3718181818181819,4.040854215621948,True,D,D,4,0.003718181818181819,"(-0.001, 0.2]"
"Statement 1 | If G, H and K are groups of order 4,",Tier 2,0.86155023923445,4.300844192504883,False,D,C,12,0.0086155023923445,"(-0.001, 0.2]"
The set of all real numbers under the usual multip,Tier 1,0.45381818181818184,4.425100803375244,True,D,D,4,0.004538181818181819,"(-0.001, 0.2]"
"If (G, .) is a group such that (ab)^-1 = a^-1b^-1,",Tier 2,0.7467272727272729,2.7345998287200928,True,B,B,12,0.007467272727272729,"(-0.001, 0.2]"
Statement 1 | If a finite group has order n then t,Tier 2,0.7467272727272729,5.444142818450928,True,D,D,12,0.007467272727272729,"(-0.001, 0.2]"
"The set of integers Z with the binary operation ""*",Tier 2,0.6062775119617226,0.7556900978088379,True,C,C,12,0.006062775119617226,"(-0.001, 0.2]"
