question,tier,score,latency,correct,pred,target,cost,norm_score,bin
Statement 1 | If a group has an element of order 1,Tier 2,0.8589377990430623,0.48905181884765625,True,C,C,12,0.008589377990430623,"(-0.001, 0.2]"
"Statement 1 | If G, H and K are groups of order 4,",Tier 2,0.86155023923445,0.24669170379638672,True,C,C,12,0.0086155023923445,"(-0.001, 0.2]"
"(Z,*) is a group with a*b = a+b+1 for all a, b in ",Tier 1,0.6062775119617226,0.3887951374053955,False,,D,4,0.006062775119617226,"(-0.001, 0.2]"
"Statement 1 | For any two groups G and G', there e",Tier 1,0.49406698564593315,0.2461562156677246,False,B,C,4,0.004940669856459331,"(-0.001, 0.2]"
"Let A and B be sets, f: A -> B and g: B -> A be fu",Tier 1,0.5019043062200959,0.2283480167388916,True,C,C,4,0.005019043062200959,"(-0.001, 0.2]"
Statement 1 | Every permutation is a cycle. Statem,Tier 1,0.3718181818181819,0.2658209800720215,True,D,D,4,0.003718181818181819,"(-0.001, 0.2]"
Statement 1 | Any set of two vectors in R^2 is lin,Tier 2,0.86155023923445,0.2532174587249756,True,D,D,12,0.0086155023923445,"(-0.001, 0.2]"
Statement 1 | The external direct product of cycli,Tier 1,0.3718181818181819,0.23642826080322266,False,C,B,4,0.003718181818181819,"(-0.001, 0.2]"
Statement 1 | If H is a subgroup of G and a belong,Tier 2,0.7467272727272729,0.23131060600280762,False,A,C,12,0.007467272727272729,"(-0.001, 0.2]"
Find the degree for the given field extension Q(sq,Tier 1,0.6062775119617226,0.2527894973754883,True,B,B,4,0.006062775119617226,"(-0.001, 0.2]"
The set of all real numbers under the usual multip,Tier 1,0.45381818181818184,0.250288724899292,True,D,D,4,0.004538181818181819,"(-0.001, 0.2]"
Statement 1 | If H is a subgroup of a group G and ,Tier 2,0.7467272727272729,0.23221707344055176,False,C,B,12,0.007467272727272729,"(-0.001, 0.2]"
Find the characteristic of the ring Z_3 x Z_3.,Tier 1,0.45381818181818184,0.24301791191101074,True,B,B,4,0.004538181818181819,"(-0.001, 0.2]"
"Some group (G, 0) is known to be abelian. Then whi",Tier 2,0.7764593301435407,0.23739123344421387,True,C,C,12,0.007764593301435407,"(-0.001, 0.2]"
Statement 1 | If a finite group has order n then t,Tier 2,0.7467272727272729,0.2451643943786621,True,D,D,12,0.007467272727272729,"(-0.001, 0.2]"
